algorithm_name,time
russell_index,1.34
russell_index_num_to_alpha,1.81
russell_index_alpha,1.77
soundex,1.30
reverse_soundex,1.34
soundex_0pad_ml6,1.28
soundex_special,1.29
soundex_census,1.62
refined_soundex,1.20
refined_soundex_vowels,1.16
refined_soundex_0pad_ml6,1.25
dm_soundex,3.50
koelner_phonetik,0.97
koelner_phonetik_num_to_alpha,1.50
koelner_phonetik_alpha,1.46
nysiis,1.67
nysiis_modified,2.35
nysiis_ml_inf,1.70
mra,0.42
metaphone,1.53
double_metaphone,1.75
caverphone_1,1.56
caverphone_2,1.60
alpha_sis,7.94
fuzzy_soundex,2.16
fuzzy_soundex_0pad_ml8,1.78
phonex,0.74
phonex_0pad_ml6,0.67
phonem,1.80
phonix,30.88
phonix_0pad_ml6,30.88
sfinxbis,6.05
sfinxbis_ml6,6.20
phonet_1,325.02
phonet_2,321.37
phonet_1_none,59.53
phonet_2_none,58.50
spfc,3.81
statistics_canada,0.61
statistics_canada_ml8,0.63
lein,1.02
lein_nopad_ml8,1.02
roger_root,1.88
roger_root_nopad_ml8,1.86
onca,2.94
onca_nopad_ml8,3.16
eudex,1.34
haase_phonetik,2.16
haase_phonetik_primary,1.04
reth_schek_phonetik,1.15
fonem,8.63
parmar_kumbharana,1.22
davidson,0.42
sound_d,1.26
sound_d_ml8,1.27
pshp_soundex_last,1.69
pshp_soundex_last_german,1.69
pshp_soundex_last_ml8,1.71
pshp_soundex_first,1.39
pshp_soundex_first_german,1.42
pshp_soundex_first_ml8,1.40
henry_early,1.46
henry_early_ml8,1.48
norphone,1.93
dolby,1.17
dolby_ml4,1.44
dolby_vowels,1.24
phonetic_spanish,0.78
phonetic_spanish_ml4,0.80
spanish_metaphone,0.85
spanish_metaphone_modified,0.95
spanish_metaphone_ml4,0.91
metasoundex,3.19
metasoundex_es,2.37
bmpm,518.23
bmpm_german,137.79
bmpm_french,165.67
bmpm_gen_exact,194.33
bmpm_ash_approx,446.22
bmpm_ash_exact,159.80
bmpm_sep_approx,142.54
bmpm_sep_exact,100.14
str_fingerprint,0.38
qgram_fingerprint,1.68
qgram_fingerprint_3,1.67
qgram_fingerprint_ssj,1.84
phonetic_fingerprint,2.12
skeleton_key,0.41
omission_key,0.63
occurrence_fingerprint,0.38
occurrence_halved_fingerprint,0.39
count_fingerprint,0.99
position_fingerprint,0.90
synoname_toolcode,26.12
synoname_toolcode_2name,27.63
